Review,Title,Rating,day,month,year,hour,minute,second,dayofweek,weekofyear,raw time,Country,Username,Reviews,Reads,Useful,Genre
Rebtel I had been charged several times even when the phones are not connected. 419 in phone clothing,Charged without connetion,1,21,2,2017,9,27,7,2,8,2017-02-21T09:27:07,United Kingdom,O Emmanuel,1,3,0,
I have topped up for 100$ mistakenly as in the topup option it is near 100$ I just touched it then my 100$ gone I asked for refund no reply from them don't believe rebtel app,Refund,1,16,2,2017,2,32,11,4,7,2017-02-16T02:32:11,United States,Rohith Reddy,1,203,0,
"They say they are honest and all the good adjectives but what they dont say is they will increase your tariff after a month and that £7 does not include VAT charges.. I was a customer for last 6 months and was paying £11.80/month and saw their ad saying £7.. questioned them about why they misleading according to what I was paying but was coming up will all excuses in the world like you they dont include VAT because it depends where you buying the credit from, in every country VAT does not apply etc etc...............BE AWARE",Misleading.. be aware,1,11,2,2017,16,38,10,6,6,2017-02-11T16:38:10,United States,Ashish Saha,1,324,0,
"They have the worst customer support. To find a way to get to them takes away all your patience. I am a new customer and trying to redeem a voucher. Also I closed my account with G3 telecom services to sign up with rebtel. I used 2 vouchers and none of them worked. I was without any telecom services for about a day and I had to call my parents in India. They provide expired codes to our company maybe so that people like us would sign up for an account and then bam! That is it, you don't get any credit against that voucher. I had to flip through the FAQs, read help articles and then they thought they had their fun so after 15 minutes of struggle the website gave me chat option. I still wasn't losing faith in them. I talked to an agent and he was rude and absurd. I even told him how important it was for me to make a call to India. He was totally helpless and I don't even think how to treat customers. He didn't even what I was talking about! When I thought he is not helping me out, I rated him 1 star and ended the conversation. He came back to me saying I was rude for giving him 1 star and that he was thinking of giving me some credit. That was unacceptable since I did not want to talk to him and ended the chat, he had no right to reopen the chat and send me messages. Also there is technically no way that you can end a chat except by closing out the website!!! I would suggest them to hire more polite reps and also train them to help us out better.",Worst customer support,1,6,2,2017,13,44,52,1,6,2017-02-06T13:44:52,Canada,Dhairya,1,511,0,
"I am looking at all responses on behalf of Rebtel (Fernando), and all he resorts to is ""send us your bill"" or we can not locate your account. Very good Fernando. Can Rebtel not simply look at email or phone numbers to verify everything quickly? why the bill? I have yet to find an honest phone company. You guys are all crooks and in it for the money, and then run. Fernando tell your bosses to be more ethical and less generic. There are enough scammers in this world.",very strategic responses on behalf of rebtel.,2,3,2,2017,4,19,34,5,5,2017-02-03T04:19:34,United States,mike,1,618,0,
Ad said $.18 per minute when I'm checking out it say $.25 per minute. Definitely a bait & switch.,False advertising,1,20,1,2017,1,19,41,5,3,2017-01-20T01:19:41,United States,Mena Moncoeur,1,1123,0,
Many times I try to contact them regarding quality I haven't received any revert. Long lasting wait for calling.,Overall review is worst.,1,19,1,2017,10,36,59,4,3,2017-01-19T10:36:59,United States,Simranjeet Singh,1,1067,0,
I used rebtel app for one number and then I changed my number for which I have international calling so I uninstalled the app but after 2 months 10$ has been deducted. How can I get the refund? How to remove autopayment? I don't get any information regarding customer service.can someone help me?,Not easy to interact with customer service,1,15,1,2017,1,17,41,7,2,2017-01-15T01:17:41,United States,monika makani,1,1178,0,
"I am heavy user of Rebtel and have been using them for about a year and they are faultless. The only problem is that after the brexit results with the pounds tumbling against the dollar their prices have gone up. It used to be 40p per minute but now 53p per minute. Still cheaper than the others, I think this is because they still rely on Etecsa on the other end.",Excellent service,5,9,1,2017,13,25,6,1,2,2017-01-09T13:25:06,United States,Paul Vongue Balagueiras,1,1327,0,
"I was using Rebtel for almost a year to make calls to my parents in portugal through the Internet.  Last month my mobile provider charged me plus 63£ on my monthly bill for the calls made to portugal through the Rebtel app, on my monthly bill those calls appear like landline calls to London and etc, but I have screenshots on my phone saying those calls are created by Rebtel. I have my services suspended when I'm paying for the Rebtel subscription and my monthly bill on three. Three says it's not their mistake. I emailed Rebtel more than once asking for an explanation and until today no one bother to answer me. So for me it's the worse app ever! What you're doing it's not even legal!",Worse costumer service ever,1,4,1,2017,16,3,41,3,1,2017-01-04T16:03:41,United Kingdom,Susana,1,1441,0,Female
