Rating,day,month,year,hour,minute,second,dayofweek,weekofyear,Country,Reviews,Reads,Useful,Num_inc_title,Num_inc_review,r_compound,r_negative,r_positive,r_neutral,t_compound,t_negative,t_positive,t_neutral,NN_inc_title,NN_inc_review,Rel_w_title,Rel_w_review,Lems_title,Lems_review,Snow_title,Snow_review,Porter_title,Porter_review,Lanc_title,Lanc_review,Lems_title_review,Snow_title_review,Porter_title_review,Lanc_title_review,Rel_w_title_review,Key_country,Lex_preds
1,21,2,2017,9,27,7,2,8,United Kingdom,1,3,0,Charged without connection, COMPANY  I had been charged several times even when the phones are not connected . NUM in phone clothing,-0.2023,-0.101,0.0,0.899,-0.2023,-0.474,0.0,0.526,charged without connection,COMPANY I had been charged several times even when the phones are not !connected . NUM in phone clothing,charged without connection,COMPANY charged several times even phones not !connected  NUM phone clothing,charged without connection,COMPANY charged several time even phone not ! connected NUM phone clothing,charg without connect,compani charg sever time even phone not ! connect num phone cloth,charg without connect,compani charg sever time even phone not ! connect num phone cloth,charg without connect,company charg sev tim ev phon not ! connect num phon cloth,charged without connection COMPANY charged several time even phone not ! connected NUM phone clothing,charg without connect compani charg sever time even phone not ! connect num phone cloth,charg without connect compani charg sever time even phone not ! connect num phone cloth,charg without connect company charg sev tim ev phon not ! connect num phon cloth,charged without connection COMPANY charged several times even phones not !connected  NUM phone clothing,0,1
1,16,2,2017,2,32,11,4,7,United States,1,203,0,refund,I have topped up for  PRICE mistakenly as in the topup option it is near  PRICE I just touched it then my  PRICE gone I asked for refund no reply from them don't believe  COMPANY  app,-0.5267,-0.124,0.0,0.876,0.0,-0.0,0.0,1.0,refund,I have topped up for PRICE mistakenly as in the topup option it is near PRICE I just touched it then my PRICE gone I asked for refund no !reply from them do n't !believe COMPANY app,refund,topped PRICE mistakenly topup option near PRICE touched PRICE gone asked refund no !reply n't !believe COMPANY app,refund,topped PRICE mistakenly topup option near PRICE touched PRICE gone asked refund no ! reply n't ! believe COMPANY app,refund,top price mistaken topup option near price touch price gone ask refund no ! repli n't ! believ compani app,refund,top price mistakenli topup option near price touch price gone ask refund no ! repli n't ! believ compani app,refund,top pric mistak topup opt near pric touch pric gon ask refund no ! reply n't ! believ company ap,refund topped PRICE mistakenly topup option near PRICE touched PRICE gone asked refund no ! reply n't ! believe COMPANY app,refund top price mistaken topup option near price touch price gone ask refund no ! repli n't ! believ compani app,refund top price mistakenli topup option near price touch price gone ask refund no ! repli n't ! believ compani app,refund top pric mistak topup opt near pric touch pric gon ask refund no ! reply n't ! believ company ap,refund topped PRICE mistakenly topup option near PRICE touched PRICE gone asked refund no !reply n't !believe COMPANY app,1,2
1,11,2,2017,16,38,10,6,6,United States,1,324,0,Misleading .. be aware,"They say they are honest and all the good adjectives but what they dont say is they will increase your tariff after a month and that  PRICE does not include VAT charges .. I was a customer for last NUM months and was paying  PRICE  NUM / month and saw their ad saying  PRICE .. questioned them about why they misleading according to what I was paying but was coming up will all excuses in the world like you they dont include VAT because it depends where you buying the credit from , in every country VAT does not apply etc etc ... BE AWARE",0.868,-0.046,0.142,0.812,-0.4019,-0.474,0.0,0.526,misleading .. be aware,"they say they are honest and all the good adjectives but what they dont !say is they will increase your tariff after a month and that PRICE does not !include VAT charges .. I was a customer for last NUM months and was paying PRICE NUM / month and saw their ad saying PRICE .. questioned them about why they misleading according to what I was paying but was coming up will all excuses in the world like you they dont !include VAT because it depends where you buying the credit from , in every country VAT does not !apply etc etc ... BE AWARE",misleading  aware,"say honest good adjectives dont !say increase tariff month PRICE not !include VAT charges  customer last NUM months paying PRICE NUM / month saw ad saying PRICE  questioned misleading according paying coming excuses world like dont !include VAT depends buying credit , every country VAT not !apply etc etc  AWARE",misleading aware,"say honest good adjective dont ! say increase tariff month PRICE not ! include VAT charge customer last NUM month paying PRICE NUM / month saw ad saying PRICE questioned misleading according paying coming excuse world like dont ! include VAT depends buying credit , every country VAT not ! apply etc etc AWARE",mislead awar,"say honest good adject dont ! say increas tariff month price not ! includ vat charg custom last num month pay price num / month saw ad say price question mislead accord pay come excus world like dont ! includ vat depend buy credit , everi countri vat not ! appli etc etc awar",mislead awar,"say honest good adject dont ! say increas tariff month price not ! includ vat charg custom last num month pay price num / month saw ad say price question mislead accord pay come excus world like dont ! includ vat depend buy credit , everi countri vat not ! appli etc etc awar",mislead aw,"say honest good adject dont ! say increas tariff mon pric not ! includ vat charg custom last num month pay pric num / mon saw ad say pric quest mislead accord pay com excus world lik dont ! includ vat depend buy credit , every country vat not ! apply etc etc aw","misleading aware say honest good adjective dont ! say increase tariff month PRICE not ! include VAT charge customer last NUM month paying PRICE NUM / month saw ad saying PRICE questioned misleading according paying coming excuse world like dont ! include VAT depends buying credit , every country VAT not ! apply etc etc AWARE","mislead awar say honest good adject dont ! say increas tariff month price not ! includ vat charg custom last num month pay price num / month saw ad say price question mislead accord pay come excus world like dont ! includ vat depend buy credit , everi countri vat not ! appli etc etc awar","mislead awar say honest good adject dont ! say increas tariff month price not ! includ vat charg custom last num month pay price num / month saw ad say price question mislead accord pay come excus world like dont ! includ vat depend buy credit , everi countri vat not ! appli etc etc awar","mislead aw say honest good adject dont ! say increas tariff mon pric not ! includ vat charg custom last num month pay pric num / mon saw ad say pric quest mislead accord pay com excus world lik dont ! includ vat depend buy credit , every country vat not ! apply etc etc aw","misleading  aware say honest good adjectives dont !say increase tariff month PRICE not !include VAT charges  customer last NUM months paying PRICE NUM / month saw ad saying PRICE  questioned misleading according paying coming excuses world like dont !include VAT depends buying credit , every country VAT not !apply etc etc  AWARE",1,1
1,6,2,2017,13,44,52,1,6,Canada,1,511,0,Worst customer support,"They have the worst customer support . To find a way to get to them takes away all your patience . I am a new customer and trying to redeem a voucher . Also I closed my account with  NUM telecom services to sign up with  COMPANY  . I used NUM vouchers and none of them worked . I was without any telecom services for about a day and I had to call my parents in India . They provide expired codes to our company maybe so that people like us would sign up for an account and then bam ! That is it , you don't get any credit against that voucher . I had to flip through the FAQs , read help articles and then they thought they had their fun so after NUM minutes of struggle the website gave me chat option . I still wasn't losing faith in them . I talked to an agent and he was rude and absurd . I even told him how important it was for me to make a call to India . He was totally helpless and I don't even think how to treat customers . He didn't even what I was talking about ! When I thought he is not helping me out , I rated him NUM star and ended the conversation . He came back to me saying I was rude for giving him NUM star and that he was thinking of giving me some credit . That was unacceptable since I did not want to talk to him and ended the chat , he had no right to reopen the chat and send me messages . Also there is technically no way that you can end a chat except by closing out the website ! ! ! I would suggest them to hire more polite reps and also train them to help us out better .",-0.6729,-0.109,0.091,0.8,-0.34,-0.526,0.346,0.128,worst customer support,"they have the worst customer support . to find a way to get to them takes away all your patience . I am a new customer and trying to redeem a voucher . also I closed my account with NUM telecom services to sign up with COMPANY . I used NUM vouchers and none !of them worked . I was without any telecom services for about a day and I had to call my parents in india . they provide expired codes to our company maybe so that people like us would sign up for an account and then bam ! that is it , you do n't !get any credit against that voucher . I had to flip through the faqs , read help articles and then they thought they had their fun so after NUM minutes of struggle the website gave me chat option . I still was n't !losing faith in them . I talked to an agent and he was rude and absurd . I even told him how important it was for me to make a call to india . he was totally helpless and I do n't !even think how to treat customers . he did n't !even what I was talking about ! when I thought he is not !helping me out , I rated him NUM star and ended the conversation . he came back to me saying I was rude for giving him NUM star and that he was thinking of giving me some credit . that was unacceptable since I did not !want to talk to him and ended the chat , he had no !right to reopen the chat and send me messages . also there is technically no !way that you can end a chat except by closing out the website ! ! ! I would suggest them to hire more polite reps and also train them to help us out better .",worst customer support,"worst customer support  find way get takes away patience  new customer trying redeem voucher  also closed account NUM telecom services sign COMPANY  used NUM vouchers none !worked  without telecom services day call parents india  provide expired codes company maybe people like us would sign account bam !, n't !get credit voucher  flip faqs , read help articles thought fun NUM minutes struggle website gave chat option  still n't !losing faith  talked agent rude absurd  even told important make call india  totally helpless n't !even think treat customers  n't !even talking !thought not !helping , rated NUM star ended conversation  came back saying rude giving NUM star thinking giving credit  unacceptable since not !want talk ended chat , no !right reopen chat send messages  also technically no !way end chat except closing website !!!would suggest hire polite reps also train help us better ",worst customer support,"worst customer support find way get take away patience new customer trying redeem voucher also closed account NUM telecom service sign COMPANY used NUM voucher none ! worked without telecom service day call parent india provide expired code company maybe people like u would sign account bam ! , n't ! get credit voucher flip faq , read help article thought fun NUM minute struggle website gave chat option still n't ! losing faith talked agent rude absurd even told important make call india totally helpless n't ! even think treat customer n't ! even talking ! thought not ! helping , rated NUM star ended conversation came back saying rude giving NUM star thinking giving credit unacceptable since not ! want talk ended chat , no ! right reopen chat send message also technically no ! way end chat except closing website ! ! ! would suggest hire polite rep also train help u better",worst custom support,"worst custom support find way get take away patienc new custom tri redeem voucher also close account num telecom servic sign compani use num voucher none ! work without telecom servic day call parent india provid expir code compani mayb peopl like us would sign account bam ! , n't ! get credit voucher flip faq , read help articl thought fun num minut struggl websit gave chat option still n't ! lose faith talk agent rude absurd even told import make call india total helpless n't ! even think treat custom n't ! even talk ! thought not ! help , rate num star end convers came back say rude give num star think give credit unaccept sinc not ! want talk end chat , no ! right reopen chat send messag also technic no ! way end chat except close websit ! ! ! would suggest hire polit rep also train help us better",worst custom support,"worst custom support find way get take away patienc new custom tri redeem voucher also close account num telecom servic sign compani use num voucher none ! work without telecom servic day call parent india provid expir code compani mayb peopl like us would sign account bam ! , n't ! get credit voucher flip faq , read help articl thought fun num minut struggl websit gave chat option still n't ! lose faith talk agent rude absurd even told import make call india total helpless n't ! even think treat custom n't ! even talk ! thought not ! help , rate num star end convers came back say rude give num star think give credit unaccept sinc not ! want talk end chat , no ! right reopen chat send messag also technic no ! way end chat except close websit ! ! ! would suggest hire polit rep also train help us better",worst custom support,"worst custom support find way get tak away paty new custom try redeem vouch also clos account num telecom serv sign company us num vouch non ! work without telecom serv day cal par ind provid expir cod company mayb peopl lik us would sign account bam ! , n't ! get credit vouch flip faq , read help artic thought fun num minut struggle websit gav chat opt stil n't ! los fai talk ag rud absurd ev told import mak cal ind tot helpless n't ! ev think tre custom n't ! ev talk ! thought not ! help , rat num star end convers cam back say rud giv num star think giv credit unacceiv sint not ! want talk end chat , no ! right reop chat send mess also techn no ! way end chat exceiv clos websit ! ! ! would suggest hir polit rep also train help us bet","worst customer support worst customer support find way get take away patience new customer trying redeem voucher also closed account NUM telecom service sign COMPANY used NUM voucher none ! worked without telecom service day call parent india provide expired code company maybe people like u would sign account bam ! , n't ! get credit voucher flip faq , read help article thought fun NUM minute struggle website gave chat option still n't ! losing faith talked agent rude absurd even told important make call india totally helpless n't ! even think treat customer n't ! even talking ! thought not ! helping , rated NUM star ended conversation came back saying rude giving NUM star thinking giving credit unacceptable since not ! want talk ended chat , no ! right reopen chat send message also technically no ! way end chat except closing website ! ! ! would suggest hire polite rep also train help u better","worst custom support worst custom support find way get take away patienc new custom tri redeem voucher also close account num telecom servic sign compani use num voucher none ! work without telecom servic day call parent india provid expir code compani mayb peopl like us would sign account bam ! , n't ! get credit voucher flip faq , read help articl thought fun num minut struggl websit gave chat option still n't ! lose faith talk agent rude absurd even told import make call india total helpless n't ! even think treat custom n't ! even talk ! thought not ! help , rate num star end convers came back say rude give num star think give credit unaccept sinc not ! want talk end chat , no ! right reopen chat send messag also technic no ! way end chat except close websit ! ! ! would suggest hire polit rep also train help us better","worst custom support worst custom support find way get take away patienc new custom tri redeem voucher also close account num telecom servic sign compani use num voucher none ! work without telecom servic day call parent india provid expir code compani mayb peopl like us would sign account bam ! , n't ! get credit voucher flip faq , read help articl thought fun num minut struggl websit gave chat option still n't ! lose faith talk agent rude absurd even told import make call india total helpless n't ! even think treat custom n't ! even talk ! thought not ! help , rate num star end convers came back say rude give num star think give credit unaccept sinc not ! want talk end chat , no ! right reopen chat send messag also technic no ! way end chat except close websit ! ! ! would suggest hire polit rep also train help us better","worst custom support worst custom support find way get tak away paty new custom try redeem vouch also clos account num telecom serv sign company us num vouch non ! work without telecom serv day cal par ind provid expir cod company mayb peopl lik us would sign account bam ! , n't ! get credit vouch flip faq , read help artic thought fun num minut struggle websit gav chat opt stil n't ! los fai talk ag rud absurd ev told import mak cal ind tot helpless n't ! ev think tre custom n't ! ev talk ! thought not ! help , rat num star end convers cam back say rud giv num star think giv credit unacceiv sint not ! want talk end chat , no ! right reop chat send mess also techn no ! way end chat exceiv clos websit ! ! ! would suggest hir polit rep also train help us bet","worst customer support worst customer support  find way get takes away patience  new customer trying redeem voucher  also closed account NUM telecom services sign COMPANY  used NUM vouchers none !worked  without telecom services day call parents india  provide expired codes company maybe people like us would sign account bam !, n't !get credit voucher  flip faqs , read help articles thought fun NUM minutes struggle website gave chat option  still n't !losing faith  talked agent rude absurd  even told important make call india  totally helpless n't !even think treat customers  n't !even talking !thought not !helping , rated NUM star ended conversation  came back saying rude giving NUM star thinking giving credit  unacceptable since not !want talk ended chat , no !right reopen chat send messages  also technically no !way end chat except closing website !!!would suggest hire polite reps also train help us better ",2,3
2,3,2,2017,4,19,34,5,5,United States,1,618,0,very strategic responses on behalf of COMPANY .,"I am looking at all responses on behalf of  COMPANY  ( Fernando ) , and all he resorts to is "" send us your bill "" or we can not locate your account . Very good Fernando . Can  COMPANY  not simply look at email or phone numbers to verify everything quickly ? why the bill ? I have yet to find an honest phone company . You guys are all crooks and in it for the money , and then run . Fernando tell your bosses to be more ethical and less generic . There are enough scammers in this world .",0.8872,-0.0,0.111,0.889,0.0,-0.0,0.0,1.0,very strategic responses on behalf of COMPANY .,"I am looking at all responses on behalf of COMPANY ( fernando ) , and all he resorts to is `` send us your bill `` or we can not !locate your account . very good fernando . can COMPANY not !simply look at email or phone numbers to verify everything quickly ? why the bill ? I have yet to find an honest phone company . you guys are all crooks and in it for the money , and then run . fernando tell your bosses to be more ethical and less generic . there are enough scammers in this world .",strategic responses behalf COMPANY ,"looking responses behalf COMPANY ( fernando ) , resorts   send us bill   not !locate account  good fernando  COMPANY not !simply look email phone numbers verify everything quickly  bill  yet find honest phone company  guys crooks money , run  fernando tell bosses ethical less generic  enough scammers world ",strategic response behalf COMPANY,"looking response behalf COMPANY ( fernando ) , resort send u bill not ! locate account good fernando COMPANY not ! simply look email phone number verify everything quickly bill yet find honest phone company guy crook money , run fernando tell boss ethical le generic enough scammer world",strateg respons behalf compani,"look respons behalf compani ( fernando ) , resort send us bill not ! locat account good fernando compani not ! simpli look email phone number verifi everyth quick bill yet find honest phone compani guy crook money , run fernando tell boss ethic less generic enough scammer world",strateg respons behalf compani,"look respons behalf compani ( fernando ) , resort send us bill not ! locat account good fernando compani not ! simpli look email phone number verifi everyth quickli bill yet find honest phone compani guy crook money , run fernando tell boss ethic less gener enough scammer world",strategic respons behalf company,"look respons behalf company ( fernando ) , resort send us bil not ! loc account good fernando company not ! simply look email phon numb ver everyth quick bil yet find honest phon company guy crook money , run fernando tel boss eth less gen enough scam world","strategic response behalf COMPANY looking response behalf COMPANY ( fernando ) , resort send u bill not ! locate account good fernando COMPANY not ! simply look email phone number verify everything quickly bill yet find honest phone company guy crook money , run fernando tell boss ethical le generic enough scammer world","strateg respons behalf compani look respons behalf compani ( fernando ) , resort send us bill not ! locat account good fernando compani not ! simpli look email phone number verifi everyth quick bill yet find honest phone compani guy crook money , run fernando tell boss ethic less generic enough scammer world","strateg respons behalf compani look respons behalf compani ( fernando ) , resort send us bill not ! locat account good fernando compani not ! simpli look email phone number verifi everyth quickli bill yet find honest phone compani guy crook money , run fernando tell boss ethic less gener enough scammer world","strategic respons behalf company look respons behalf company ( fernando ) , resort send us bil not ! loc account good fernando company not ! simply look email phon numb ver everyth quick bil yet find honest phon company guy crook money , run fernando tel boss eth less gen enough scam world","strategic responses behalf COMPANY  looking responses behalf COMPANY ( fernando ) , resorts   send us bill   not !locate account  good fernando  COMPANY not !simply look email phone numbers verify everything quickly  bill  yet find honest phone company  guys crooks money , run  fernando tell bosses ethical less generic  enough scammers world ",1,2
1,20,1,2017,1,19,41,5,3,United States,1,1123,0,false advertising,Ad said $ . NUM per minute when I'm checking out it say $ . NUM per minute . Definitely a bait & switch .,0.4019,-0.0,0.144,0.856,0.0,-0.0,0.0,1.0,false advertising,ad said $ . NUM per minute when I 'm checking out it say $ . NUM per minute . definitely a bait & switch .,false advertising,ad said $  NUM per minute ' checking say $  NUM per minute  definitely bait & switch ,false advertising,ad said $ NUM per minute ' checking say $ NUM per minute definitely bait & switch,fals advertis,ad said $ num per minut ' check say $ num per minut definit bait & switch,fals advertis,ad said $ num per minut ' check say $ num per minut definit bait & switch,fals advert,ad said $ num per minut ' check say $ num per minut definit bait & switch,false advertising ad said $ NUM per minute ' checking say $ NUM per minute definitely bait & switch,fals advertis ad said $ num per minut ' check say $ num per minut definit bait & switch,fals advertis ad said $ num per minut ' check say $ num per minut definit bait & switch,fals advert ad said $ num per minut ' check say $ num per minut definit bait & switch,false advertising ad said $  NUM per minute ' checking say $  NUM per minute  definitely bait & switch ,1,3
1,19,1,2017,10,36,59,4,3,United States,1,1067,0,overall review is worst .,Many times I try to contact them regarding quality I haven't received any revert . Long lasting wait for calling .,0.0,-0.0,0.0,1.0,-0.6249,-0.577,0.0,0.423,overall review is worst .,many times I try to contact them regarding quality I have n't !received any revert . long lasting wait for calling .,overall review worst ,many times try contact regarding quality n't !received revert  long lasting wait calling ,overall review worst,many time try contact regarding quality n't ! received revert long lasting wait calling,overal review worst,mani time tri contact regard qualiti n't ! receiv revert long last wait call,overal review worst,mani time tri contact regard qualiti n't ! receiv revert long last wait call,overal review worst,many tim try contact regard qual n't ! receiv revert long last wait cal,overall review worst many time try contact regarding quality n't ! received revert long lasting wait calling,overal review worst mani time tri contact regard qualiti n't ! receiv revert long last wait call,overal review worst mani time tri contact regard qualiti n't ! receiv revert long last wait call,overal review worst many tim try contact regard qual n't ! receiv revert long last wait cal,overall review worst  many times try contact regarding quality n't !received revert  long lasting wait calling ,1,5
1,15,1,2017,1,17,41,7,2,United States,1,1178,0,not easy to interact with customer service,I used  COMPANY  app for one number and then I changed my number for which I have international calling so I uninstalled the app but after NUM months  PRICE has been deducted . How can I get the refund ? How to remove autopayment ? I don't get any information regarding customer service.can someone help me ?,0.6586,-0.0,0.127,0.873,-0.3412,-0.286,0.0,0.714,not !easy to interact with customer service,I used COMPANY app for one number and then I changed my number for which I have international calling so I uninstalled the app but after NUM months PRICE has been deducted . how can I get the refund ? how to remove autopayment ? I do n't !get any information regarding customer service.can someone help me ?,not !easy interact customer service,used COMPANY app one number changed number international calling uninstalled app NUM months PRICE deducted  get refund  remove autopayment  n't !get information regarding customer servicecan someone help ,not ! easy interact customer service,used COMPANY app one number changed number international calling uninstalled app NUM month PRICE deducted get refund remove autopayment n't ! get information regarding customer servicecan someone help,not ! easi interact custom servic,use compani app one number chang number intern call uninstal app num month price deduct get refund remov autopay n't ! get inform regard custom servicecan someon help,not ! easi interact custom servic,use compani app one number chang number intern call uninstal app num month price deduct get refund remov autopay n't ! get inform regard custom servicecan someon help,not ! easy interact custom serv,us company ap on numb chang numb intern cal uninstal ap num month pric deduc get refund remov autopay n't ! get inform regard custom servicec someon help,not ! easy interact customer service used COMPANY app one number changed number international calling uninstalled app NUM month PRICE deducted get refund remove autopayment n't ! get information regarding customer servicecan someone help,not ! easi interact custom servic use compani app one number chang number intern call uninstal app num month price deduct get refund remov autopay n't ! get inform regard custom servicecan someon help,not ! easi interact custom servic use compani app one number chang number intern call uninstal app num month price deduct get refund remov autopay n't ! get inform regard custom servicecan someon help,not ! easy interact custom serv us company ap on numb chang numb intern cal uninstal ap num month pric deduc get refund remov autopay n't ! get inform regard custom servicec someon help,not !easy interact customer service used COMPANY app one number changed number international calling uninstalled app NUM months PRICE deducted  get refund  remove autopayment  n't !get information regarding customer servicecan someone help ,1,1
5,9,1,2017,13,25,6,1,2,United States,1,1327,0,Excellent service,"I am heavy user of  COMPANY  and have been using them for about a year and they are faultless . The only problem is that after the brexit results with the pounds tumbling against the dollar their prices have gone up . It used to be NUM  per minute but now NUM  per minute . Still cheaper than the others , I think this is because they still rely on Etecsa on the other end .",0.0387,-0.026,0.029,0.945,0.5719,-0.0,0.787,0.213,excellent service,"I am heavy user of COMPANY and have been using them for about a year and they are faultless . the only problem is that after the brexit results with the pounds tumbling against the dollar their prices have gone up . it used to be NUM per minute but now NUM per minute . still cheaper than the others , I think this is because they still rely on etecsa on the other end .",excellent service,"heavy user COMPANY using year faultless  problem brexit results pounds tumbling dollar prices gone  used NUM per minute NUM per minute  still cheaper others , think still rely etecsa end ",excellent service,"heavy user COMPANY using year faultless problem brexit result pound tumbling dollar price gone used NUM per minute NUM per minute still cheaper others , think still rely etecsa end",excel servic,"heavi user compani use year faultless problem brexit result pound tumbl dollar price gone use num per minut num per minut still cheaper other , think still reli etecsa end",excel servic,"heavi user compani use year faultless problem brexit result pound tumbl dollar price gone use num per minut num per minut still cheaper other , think still reli etecsa end",excel serv,"heavy us company us year faultless problem brexit result pound tumbl doll pric gon us num per minut num per minut stil cheap oth , think stil rely etecs end","excellent service heavy user COMPANY using year faultless problem brexit result pound tumbling dollar price gone used NUM per minute NUM per minute still cheaper others , think still rely etecsa end","excel servic heavi user compani use year faultless problem brexit result pound tumbl dollar price gone use num per minut num per minut still cheaper other , think still reli etecsa end","excel servic heavi user compani use year faultless problem brexit result pound tumbl dollar price gone use num per minut num per minut still cheaper other , think still reli etecsa end","excel serv heavy us company us year faultless problem brexit result pound tumbl doll pric gon us num per minut num per minut stil cheap oth , think stil rely etecs end","excellent service heavy user COMPANY using year faultless  problem brexit results pounds tumbling dollar prices gone  used NUM per minute NUM per minute  still cheaper others , think still rely etecsa end ",1,5
1,4,1,2017,16,3,41,3,1,United Kingdom,1,1441,0,Worse costume service ever,"I was using  COMPANY  for almost a year to make calls to my parents in portugal through the Internet . Last month my mobile provider charged me plus  PRICE on my monthly bill for the calls made to portugal through the  COMPANY  app , on my monthly bill those calls appear like landline calls to London and etc , but I have screenshots on my phone saying those calls are created by  COMPANY  . I have my services suspended when I'm paying for the  COMPANY  subscription and my monthly bill on three . Three says it's not their mistake . I emailed  COMPANY  more than once asking for an explanation and until today no one bother to answer me . So for me it's the worse app ever ! What you're doing it's not even legal !",-0.8987,-0.128,0.049,0.823,-0.4767,-0.508,0.0,0.492,worse costume service ever,"I was using COMPANY for almost a year to make calls to my parents in portugal through the internet . last month my mobile provider charged me plus PRICE on my monthly bill for the calls made to portugal through the COMPANY app , on my monthly bill those calls appear like landline calls to london and etc , but I have screenshots on my phone saying those calls are created by COMPANY . I have my services suspended when I 'm paying for the COMPANY subscription and my monthly bill on three . three says it 's not !their mistake . I emailed COMPANY more than once asking for an explanation and until today no !one bother to answer me . so for me it 's the worse app ever ! what you 're doing it 's not !even legal !",worse costume service ever,"using COMPANY almost year make calls parents portugal internet  last month mobile provider charged plus PRICE monthly bill calls made portugal COMPANY app , monthly bill calls appear like landline calls london etc , screenshots phone saying calls created COMPANY  services suspended ' paying COMPANY subscription monthly bill three  three says ' not !mistake  emailed COMPANY asking explanation today no !one bother answer  ' worse app ever !' ' not !even legal !",worse costume service ever,"using COMPANY almost year make call parent portugal internet last month mobile provider charged plus PRICE monthly bill call made portugal COMPANY app , monthly bill call appear like landline call london etc , screenshots phone saying call created COMPANY service suspended ' paying COMPANY subscription monthly bill three three say ' not ! mistake emailed COMPANY asking explanation today no ! one bother answer ' worse app ever ! ' ' not ! even legal !",wors costum servic ever,"use compani almost year make call parent portug internet last month mobil provid charg plus price month bill call made portug compani app , month bill call appear like landlin call london etc , screenshot phone say call creat compani servic suspend ' pay compani subscript month bill three three say ' not ! mistak email compani ask explan today no ! one bother answer ' wors app ever ! ' ' not ! even legal !",wors costum servic ever,"use compani almost year make call parent portug internet last month mobil provid charg plu price monthli bill call made portug compani app , monthli bill call appear like landlin call london etc , screenshot phone say call creat compani servic suspend ' pay compani subscript monthli bill three three say ' not ! mistak email compani ask explan today no ! one bother answer ' wors app ever ! ' ' not ! even legal !",wors costum serv ev,"us company almost year mak cal par portug internet last mon mobl provid charg plu pric month bil cal mad portug company ap , month bil cal appear lik landlin cal london etc , screenshots phon say cal cre company serv suspend ' pay company subscrib month bil three three say ' not ! mistak email company ask expl today no ! on both answ ' wors ap ev ! ' ' not ! ev leg !","worse costume service ever using COMPANY almost year make call parent portugal internet last month mobile provider charged plus PRICE monthly bill call made portugal COMPANY app , monthly bill call appear like landline call london etc , screenshots phone saying call created COMPANY service suspended ' paying COMPANY subscription monthly bill three three say ' not ! mistake emailed COMPANY asking explanation today no ! one bother answer ' worse app ever ! ' ' not ! even legal !","wors costum servic ever use compani almost year make call parent portug internet last month mobil provid charg plus price month bill call made portug compani app , month bill call appear like landlin call london etc , screenshot phone say call creat compani servic suspend ' pay compani subscript month bill three three say ' not ! mistak email compani ask explan today no ! one bother answer ' wors app ever ! ' ' not ! even legal !","wors costum servic ever use compani almost year make call parent portug internet last month mobil provid charg plu price monthli bill call made portug compani app , monthli bill call appear like landlin call london etc , screenshot phone say call creat compani servic suspend ' pay compani subscript monthli bill three three say ' not ! mistak email compani ask explan today no ! one bother answer ' wors app ever ! ' ' not ! even legal !","wors costum serv ev us company almost year mak cal par portug internet last mon mobl provid charg plu pric month bil cal mad portug company ap , month bil cal appear lik landlin cal london etc , screenshots phon say cal cre company serv suspend ' pay company subscrib month bil three three say ' not ! mistak email company ask expl today no ! on both answ ' wors ap ev ! ' ' not ! ev leg !","worse costume service ever using COMPANY almost year make calls parents portugal internet  last month mobile provider charged plus PRICE monthly bill calls made portugal COMPANY app , monthly bill calls appear like landline calls london etc , screenshots phone saying calls created COMPANY  services suspended ' paying COMPANY subscription monthly bill three  three says ' not !mistake  emailed COMPANY asking explanation today no !one bother answer  ' worse app ever !' ' not !even legal !",0,1
